record_id,wfdb_path,original_csv_path,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,sampling_rate_hz,units,lead_order,fold,split,group_id
medalcare_000001,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000001_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000001_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000002,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000002_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000002_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000003,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000003_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000003_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000004,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000004_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000004_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000005,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000005_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000005_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000006,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000006_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000006_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000007,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000007_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000007_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000008,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000008_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000008_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000009,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000009_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000009_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
medalcare_000010,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000010_filtered,C:\Users\Owen\Mres project\ECGFounder\MedalCare-XL\WP2_largeDataset_Noise\avblock\test\run_S62\000010_filtered.csv,0,0,0,0,0,0,0,1,500,mV,"I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6",0,test,run_S62
