idx,key,display_name,component,category,notes,count_valid,coverage,constant_like,quasi_discrete,priority,tier,remarks
0,APD.max,APD max,ventricular,repolarization,,12019,1.0,no,no,core,weak,
1,APD.min,APD min,ventricular,repolarization,,12019,1.0,no,no,core,weak,
2,APD.rho_d,APD rho d,ventricular,repolarization,,12019,1.0,no,no,core,moderate,
3,APD.v_d,APD v d,ventricular,repolarization,,12019,1.0,no,no,core,weak,
4,APD.z_d,APD z d,ventricular,repolarization,,12019,1.0,no,no,core,weak,
5,LA.phi,LA azimuth,ventricular,geometry,,12019,1.0,no,no,core,weak,
6,LA.rho,LA radius,ventricular,geometry,,12019,1.0,no,no,core,weak,
7,LA.z,LA z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
8,LL.phi,LL azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
9,LL.rho,LL radius,ventricular,geometry,,12019,1.0,no,no,core,moderate,
10,LL.z,LL z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
11,RA.phi,RA azimuth,ventricular,geometry,,12019,1.0,no,no,core,weak,
12,RA.rho,RA radius,ventricular,geometry,,12019,1.0,no,no,core,weak,
13,RA.z,RA z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
14,RL.phi,RL azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
15,RL.rho,RL radius,ventricular,geometry,,12019,1.0,no,no,core,strong,
16,RL.z,RL z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
17,V1.phi,V1 azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
18,V1.rho,V1 radius,ventricular,geometry,,12019,1.0,no,no,core,strong,
19,V1.z,V1 z position,ventricular,geometry,,12019,1.0,no,no,core,weak,
20,V2.phi,V2 azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
21,V2.rho,V2 radius,ventricular,geometry,,12019,1.0,no,no,core,strong,
22,V2.z,V2 z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
23,V3.phi,V3 azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
24,V3.rho,V3 radius,ventricular,geometry,,12019,1.0,no,no,core,strong,
25,V3.z,V3 z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
26,V4.phi,V4 azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
27,V4.rho,V4 radius,ventricular,geometry,,12019,1.0,no,no,core,strong,
28,V4.z,V4 z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
29,V5.phi,V5 azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
30,V5.rho,V5 radius,ventricular,geometry,,12019,1.0,no,no,core,weak,
31,V5.z,V5 z position,ventricular,geometry,,12019,1.0,no,no,core,weak,
32,V6.phi,V6 azimuth,ventricular,geometry,,12019,1.0,no,no,core,strong,
33,V6.rho,V6 radius,ventricular,geometry,,12019,1.0,no,no,core,weak,
34,V6.z,V6 z position,ventricular,geometry,,12019,1.0,no,no,core,strong,
35,cv_t.BulkTissue,cv_t BulkTissue,atrial,conduction,,12019,1.0,no,no,core,weak,
36,stim[0].phi,Stim 0 azimuth,stim,stimulation,,11119,0.925119,no,no,core,weak,
37,stim[0].thr,Stim 0 threshold,stim,stimulation,,11119,0.925119,no,no,core,weak,
38,stim[0].z,Stim 0 z position,stim,stimulation,,11119,0.925119,no,no,core,weak,
39,stim[1].phi,Stim 1 azimuth,stim,stimulation,,11118,0.925035,no,no,core,weak,
40,stim[1].thr,Stim 1 threshold,stim,stimulation,,11119,0.925119,no,no,core,weak,
41,stim[1].z,Stim 1 z position,stim,stimulation,,11119,0.925119,no,no,core,weak,
42,stim[2].phi,Stim 2 azimuth,stim,stimulation,,11119,0.925119,no,no,core,weak,
43,stim[2].thr,Stim 2 threshold,stim,stimulation,,11119,0.925119,no,no,core,weak,
44,stim[2].z,Stim 2 z position,stim,stimulation,,11119,0.925119,no,no,core,weak,
45,stim[3].phi,Stim 3 azimuth,stim,stimulation,,11120,0.925202,no,no,core,moderate,
46,stim[3].z,Stim 3 z position,stim,stimulation,,11121,0.925285,no,no,core,weak,
47,stim[4].phi,Stim 4 azimuth,stim,stimulation,,11121,0.925285,no,no,core,weak,
48,stim[4].thr,Stim 4 threshold,stim,stimulation,,11121,0.925285,no,no,core,weak,
49,stim[4].time,Stim 4 time,stim,stimulation,,11121,0.925285,no,no,core,moderate,
50,stim[4].z,Stim 4 z position,stim,stimulation,,11121,0.925285,no,no,core,moderate,
