S1  JOINT FEASIBILITY SCAN (d_floor CI95 lower bound > 0  AND  cyclic order == true order)
    PTB-XL floor = 0.29216   true anchor arc = 245.4 deg
                 encoder    mode  n_cells_CIpos  n_cells_order  n_BOTH                          best_BOTH
  exp8_leadfix_medalonly  target             12             15       2 alpha=3.16e+04 d_floor=+0.0426 arc=88.5deg
  exp8_leadfix_medalonly  source             10              3       2 alpha=1e+06 d_floor=+0.0224 arc=5.8deg
   exp8_leadfix_baseline  target             10             14       0                         -- none --
   exp8_leadfix_baseline  source             11              2       1 alpha=1.78e+06 d_floor=+0.0170 arc=3.5deg
      exp8_leadfix_ccmmd  target             10             15       0                         -- none --
      exp8_leadfix_ccmmd  source             10              3       2 alpha=1e+06 d_floor=+0.0221 arc=5.4deg
       exp8_leadfix_dual  target             12             15       2 alpha=3.16e+04 d_floor=+0.0353 arc=79.6deg
       exp8_leadfix_dual  source             10              3       2 alpha=1e+06 d_floor=+0.0269 arc=6.2deg
    exp8_leadfix_globalz  target              1             17       0                         -- none --
    exp8_leadfix_globalz  source             12             14       5 alpha=1e+05 d_floor=+0.0548 arc=33.0deg
        exp8_leadfix_K64  target              2              0       0                         -- none --
        exp8_leadfix_K64  source              8              1       1 alpha=5.62e+05 d_floor=+0.0021 arc=1.2deg

S3  R-vs-ARC TRADE-OFF along the alpha path
                 encoder    mode  a_first_CIpos  arc_there  ord    a_maxR  arc@maxR  ord  arc@GCV  corr(arc,dfloor)
  exp8_leadfix_medalonly  target       1.78e+04      123.8    y     1e+05      46.7    n    200.5            -0.740
  exp8_leadfix_medalonly  source       5.62e+04       30.4    n  3.16e+05      16.2    n     36.6            -0.767
   exp8_leadfix_baseline  target       5.62e+04       55.4    n  1.78e+05      26.3    n    194.7            -0.902
   exp8_leadfix_baseline  source       3.16e+04       30.3    n  1.78e+05      20.6    n     28.3            -0.578
      exp8_leadfix_ccmmd  target       5.62e+04       54.9    n  1.78e+05      26.0    n    190.9            -0.878
      exp8_leadfix_ccmmd  source       5.62e+04       29.6    n  1.78e+05      20.2    n     36.1            -0.751
       exp8_leadfix_dual  target       1.78e+04      107.9    y  1.78e+05      29.9    n    211.0            -0.782
       exp8_leadfix_dual  source       5.62e+04       31.6    n  3.16e+05      16.8    n     38.9            -0.764
    exp8_leadfix_globalz  target       1.78e+05       23.0    n  1.78e+05      23.0    n    245.9            -0.977
    exp8_leadfix_globalz  source       1.78e+04       95.9    y     1e+05      33.0    y     66.2            -0.268
        exp8_leadfix_K64  target       5.62e+04       20.3    n  5.62e+04      20.3    n    106.4            -0.956
        exp8_leadfix_K64  source          1e+04        8.8    n  1.78e+04       8.3    n      6.6            -0.572

S2  LABELLED-TARGET BUDGET CURVE  (select alpha on N labelled PTB-XL patients, evaluate on the disjoint remainder; 50 reps)
    total patients = 3794;  selection rule = argmax R on the labelled block (free), no order constraint
  [exp8_leadfix_medalonly / target]
   N_pat  n_rows_lab  heldout_R      sd   d_floor      CI95_across_reps  P(d>0)  ord_kept     arc  modal_alpha  n_distinct
      25          28     0.3180  0.0309   +0.0258     [-0.0416,+0.0531]    0.80   17/50      77.8     3.16e+05          16
      50          56     0.3202  0.0255   +0.0279     [-0.0147,+0.0533]    0.92   23/50      81.5     1.78e+05          14
     100         114     0.3215  0.0274   +0.0294     [-0.0361,+0.0536]    0.88   21/50      83.1        1e+05          14
     200         227     0.3323  0.0152   +0.0397     [-0.0008,+0.0538]    0.96   17/50      61.2     1.78e+05          12
     400         454     0.3382  0.0123   +0.0463     [+0.0088,+0.0561]    1.00   12/50      49.3     1.78e+05           7
     800         912     0.3374  0.0118   +0.0460     [+0.0243,+0.0557]    0.98   10/50      50.3     1.78e+05           7
    1600        1821     0.3428  0.0081   +0.0508     [+0.0301,+0.0661]    1.00   12/50      43.4        1e+05           5
    1897        2162     0.3422  0.0100   +0.0481     [+0.0243,+0.0608]    1.00    9/50      41.7        1e+05           4

  [exp8_leadfix_medalonly / source]
   N_pat  n_rows_lab  heldout_R      sd   d_floor      CI95_across_reps  P(d>0)  ord_kept     arc  modal_alpha  n_distinct
      25          28     0.3037  0.0526   +0.0115     [-0.1444,+0.0452]    0.82    3/50      22.8     5.62e+04          15
      50          56     0.3128  0.0343   +0.0205     [-0.0925,+0.0452]    0.88    4/50      22.1     3.16e+05          14
     100         114     0.3181  0.0241   +0.0260     [-0.0338,+0.0458]    0.94    3/50      21.5     3.16e+05          11
     200         227     0.3284  0.0118   +0.0358     [+0.0066,+0.0462]    0.98    1/50      19.9     3.16e+05           8
     400         454     0.3324  0.0062   +0.0405     [+0.0242,+0.0486]    1.00    0/50      20.3     3.16e+05           4
     800         912     0.3328  0.0082   +0.0414     [+0.0211,+0.0523]    1.00    0/50      19.5     3.16e+05           4
    1600        1821     0.3344  0.0101   +0.0425     [+0.0247,+0.0555]    1.00    0/50      17.9     3.16e+05           4
    1897        2162     0.3351  0.0121   +0.0410     [+0.0164,+0.0522]    1.00    0/50      17.5     3.16e+05           3

  [exp8_leadfix_dual / target]
   N_pat  n_rows_lab  heldout_R      sd   d_floor      CI95_across_reps  P(d>0)  ord_kept     arc  modal_alpha  n_distinct
      25          28     0.3119  0.0342   +0.0197     [-0.0595,+0.0536]    0.76   20/50      91.6     3.16e+05          15
      50          56     0.3179  0.0267   +0.0257     [-0.0345,+0.0541]    0.86   18/50      74.3     1.78e+05          16
     100         114     0.3170  0.0295   +0.0249     [-0.0427,+0.0548]    0.80   19/50      85.7     1.78e+05          15
     200         227     0.3308  0.0187   +0.0382     [+0.0018,+0.0547]    0.98   12/50      52.2     1.78e+05          12
     400         454     0.3400  0.0103   +0.0480     [+0.0268,+0.0582]    1.00    1/50      35.8     1.78e+05           7
     800         912     0.3407  0.0081   +0.0493     [+0.0220,+0.0576]    1.00    3/50      37.2     1.78e+05           5
    1600        1821     0.3447  0.0085   +0.0527     [+0.0399,+0.0669]    1.00   10/50      33.7     1.78e+05           4
    1897        2162     0.3433  0.0112   +0.0493     [+0.0222,+0.0614]    1.00    7/50      35.2     1.78e+05           3

  [exp8_leadfix_dual / source]
   N_pat  n_rows_lab  heldout_R      sd   d_floor      CI95_across_reps  P(d>0)  ord_kept     arc  modal_alpha  n_distinct
      25          28     0.3033  0.0581   +0.0111     [-0.1321,+0.0537]    0.74    2/50      25.9     5.62e+04          18
      50          56     0.3210  0.0371   +0.0287     [-0.0915,+0.0540]    0.86    5/50      24.4     5.62e+04          14
     100         114     0.3273  0.0305   +0.0353     [-0.0491,+0.0549]    0.90    3/50      23.2        1e+05          11
     200         227     0.3412  0.0097   +0.0486     [+0.0145,+0.0555]    1.00    0/50      21.5     3.16e+05           6
     400         454     0.3440  0.0045   +0.0521     [+0.0380,+0.0578]    1.00    0/50      21.9     3.16e+05           4
     800         912     0.3435  0.0067   +0.0521     [+0.0358,+0.0612]    1.00    0/50      21.6     3.16e+05           4
    1600        1821     0.3439  0.0086   +0.0519     [+0.0386,+0.0639]    1.00    0/50      20.8     3.16e+05           3
    1897        2162     0.3444  0.0110   +0.0503     [+0.0319,+0.0610]    1.00    0/50      20.6     3.16e+05           3

