name,block,eta2_sim,sim_lo,sim_hi,eta2_real,real_lo,real_hi,verdict_4c
ST_J60_I,ST_J60,0.07402,0.06289,0.08700,0.01878,0.01066,0.02934,spurious
ST_J60_II,ST_J60,0.06826,0.05967,0.07892,0.00456,0.00183,0.00965,spurious
ST_J60_III,ST_J60,0.07509,0.06520,0.08422,0.00622,0.00221,0.01426,spurious
ST_J60_aVR,ST_J60,0.06697,0.05621,0.07912,0.01590,0.00946,0.02505,spurious
ST_J60_aVL,ST_J60,0.07606,0.06685,0.08563,0.01250,0.00620,0.02326,spurious
ST_J60_aVF,ST_J60,0.07404,0.06481,0.08407,0.00282,0.00088,0.00879,spurious
ST_J60_V1,ST_J60,0.08579,0.07517,0.09631,0.02271,0.01554,0.03189,spurious
ST_J60_V2,ST_J60,0.03974,0.03148,0.04857,0.02629,0.01697,0.03946,
ST_J60_V3,ST_J60,0.02372,0.01678,0.03108,0.03046,0.02003,0.04546,
ST_J60_V4,ST_J60,0.00592,0.00346,0.01023,0.01842,0.00999,0.03168,blind spot
ST_J60_V5,ST_J60,0.04427,0.03439,0.05546,0.02388,0.01502,0.03691,spurious
ST_J60_V6,ST_J60,0.08584,0.07424,0.09965,0.02861,0.01961,0.04083,spurious
Q_amp_I,Q_amp,0.00668,0.00338,0.01235,0.03170,0.02075,0.04730,blind spot
Q_amp_II,Q_amp,0.00489,0.00229,0.00951,0.14675,0.12484,0.17049,blind spot
Q_amp_III,Q_amp,0.00579,0.00275,0.01045,0.32437,0.29645,0.34778,blind spot
Q_amp_aVR,Q_amp,0.00298,0.00116,0.00612,0.06777,0.05181,0.08600,blind spot
Q_amp_aVL,Q_amp,0.00568,0.00253,0.01119,0.06330,0.04590,0.08181,blind spot
Q_amp_aVF,Q_amp,0.00122,0.00047,0.00347,0.22134,0.19718,0.24813,blind spot
Q_amp_V1,Q_amp,0.00382,0.00149,0.00770,0.00832,0.00340,0.01615,
Q_amp_V2,Q_amp,0.00980,0.00523,0.01716,0.04262,0.03215,0.05724,blind spot
Q_amp_V3,Q_amp,0.00908,0.00458,0.01522,0.04755,0.03572,0.06124,blind spot
Q_amp_V4,Q_amp,0.00565,0.00284,0.01090,0.02293,0.01277,0.03558,blind spot
Q_amp_V5,Q_amp,0.01748,0.01095,0.02783,0.03307,0.02383,0.04626,blind spot
Q_amp_V6,Q_amp,0.03082,0.02124,0.04226,0.04555,0.02936,0.07111,
R_amp_I,R_amp,0.00112,0.00024,0.00387,0.10020,0.07963,0.12110,blind spot
R_amp_II,R_amp,0.01332,0.00897,0.01945,0.02777,0.01916,0.03851,blind spot
R_amp_III,R_amp,0.00639,0.00328,0.01117,0.13340,0.11042,0.15447,blind spot
R_amp_aVR,R_amp,0.00217,0.00082,0.00501,0.04336,0.02979,0.05713,blind spot
R_amp_aVL,R_amp,0.00252,0.00086,0.00599,0.13325,0.10933,0.15470,blind spot
R_amp_aVF,R_amp,0.01103,0.00702,0.01686,0.08990,0.07219,0.10878,blind spot
R_amp_V1,R_amp,0.00116,0.00021,0.00403,0.01891,0.01178,0.02935,blind spot
R_amp_V2,R_amp,0.00439,0.00165,0.00931,0.05545,0.04252,0.07142,blind spot
R_amp_V3,R_amp,0.00511,0.00216,0.00957,0.07214,0.05670,0.08983,blind spot
R_amp_V4,R_amp,0.00293,0.00091,0.00645,0.03919,0.02653,0.05343,blind spot
R_amp_V5,R_amp,0.01014,0.00617,0.01587,0.05146,0.03676,0.06745,blind spot
R_amp_V6,R_amp,0.01830,0.01306,0.02537,0.05957,0.04626,0.07383,blind spot
T_amp_I,T_amp,0.04424,0.03346,0.05603,0.03631,0.02535,0.04951,
T_amp_II,T_amp,0.04028,0.03223,0.04947,0.02013,0.01228,0.02916,spurious
T_amp_III,T_amp,0.05814,0.04850,0.06865,0.07728,0.06218,0.09307,blind spot
T_amp_aVR,T_amp,0.02477,0.01745,0.03544,0.00721,0.00362,0.01403,spurious
T_amp_aVL,T_amp,0.05630,0.04646,0.06774,0.06699,0.05244,0.08371,
T_amp_aVF,T_amp,0.05701,0.04783,0.06726,0.05903,0.04533,0.07413,
T_amp_V1,T_amp,0.01246,0.00835,0.01839,0.00265,0.00106,0.00856,spurious
T_amp_V2,T_amp,0.02022,0.01331,0.02919,0.00958,0.00334,0.02010,
T_amp_V3,T_amp,0.01714,0.01138,0.02443,0.01407,0.00595,0.02484,
T_amp_V4,T_amp,0.00692,0.00420,0.01115,0.01938,0.01070,0.03060,blind spot
T_amp_V5,T_amp,0.01485,0.01003,0.02153,0.01591,0.00895,0.02449,
T_amp_V6,T_amp,0.02644,0.01987,0.03515,0.00484,0.00187,0.00959,spurious
QRS_duration_ms,globals,0.01505,0.00983,0.02149,0.10856,0.09040,0.12916,blind spot
QT_interval_ms,globals,0.02316,0.01654,0.03259,0.05563,0.04111,0.07166,blind spot
P_duration_ms,globals,0.00595,0.00305,0.01072,0.01052,0.00518,0.01843,
ST_J60_avg_mV,ST_J60,0.00879,0.00581,0.01350,0.02707,0.01652,0.04325,blind spot
heart_rate_bpm,globals,0.00182,0.00051,0.00468,0.00447,0.00158,0.01049,
frontal_QRS_axis,axis,0.00201,0.00055,0.00471,0.12973,0.10962,0.15100,blind spot
